Wort;Verboten1;Verboten2;Verboten3;Verboten4
Lhasa;Tibet;Höhe;Buddhismus;Potala
Samarkand;Usbekistan;Seidenstraße;Timur;Tempel
Isfahan;Iran;Moschee;Brücke;Minarett
Persepolis;Iran;Persia;Ruinen;Feuer
Ayutthaya;Thailand;Antik;Königreich;Ruinen
Borobudur;Indonesien;Buddha;Tempel;Mandala
Luang Prabang;Laos;Mönche;Fluss;Frankreich
Kathmandu;Nepal;Durbar;Shiva;Hindu
Bhaktapur;Nepal;Töpferei;Durbar;Newars
Timbuktu;Mali;Gold;Gelehrte;Sahara
Kilwa;Tansania;Swahili;Insel;Handel
Zanzibar;Tansania;Gewürze;Insel;Araber
Gondar;Äthiopien;Schlösser;Fasilides;Orthodox
Aksum;Äthiopien;Antik;Stelen;Aksumitanreich
Petra;Jordanien;Felsen;Nabatäer;Rose
Palmyra;Syrien;Oasen;Seidenstraße;Zenobia
Baalbek;Libanon;Römisch;Tempel;Bacchus
Moria;Jemen;Hochplateau;Monolithen;Südarabien
Chan Chan;Peru;Adobe;Chimú;Labyrinth
Cahokia;USA;Mississippikultur;Hügel;Pré-Kolumbian
