Wort;Verboten1;Verboten2;Verboten3;Verboten4
Arca;Künstler;Experimentell;Venezuelanisch;Avantgarde
Bjork;Sängerin;Isländisch;Innovativ;Elektronisch
Laurie Anderson;Künstler;Experimentell;Performance;Konzeptuell
Karlheinz Stockhausen;Komponist;Seriell;Elektronische Musik;Klassische Avantgarde
John Cage;Komponist;Stille;Zufall;Experimentell
Pauline Oliveros;Komponistin;Deep Listening;Elektronisch;Sonic
Merzbow;Künstler;Noise;Japanisch;Extreme
Fennesz;Elektronischer Künstler;Granular;Österreichisch;Drift
Alvin Lucier;Komponist;Site-Spezifisch;Klang;Psychoakustik
Pierre Schaeffer;Komponist;Concrete;Französisch;Klassiker
Aleatoric Musik;Kompositionstechnik;Zufall;Unberechenbar;Cage
Spectral Music;Kompositionstechnik;Spektrum;Mathematik;Grisey
Minimalism;Musikbewegung;Sich wiederholend;Philip Glass;Steve Reich
Serialism;Kompositionstechnik;Reihenfolge;Schönberg;Klassisch
Ambient;Genre;Brian Eno;Atmosphäre;Passiv
Drone;Genre;Lange Töne;Minimal;Repetitiv
Vaporwave;Genre;Glitch;Ästhetik;Ironie
Glitch;Genre;Fehler;Digital;Elektronisch
Musique Concrète;Elektronische Musik;Konkrete;Französisch;Immersiv
Granular Synthesis;Synthesetechnik;Körnig;Zeitdehnbar;Microsound
FM Synthesis;Synthesetechnik;Frequenzmodulation;Yamaha;Metallisch
Wavetable Synthesis;Synthesetechnik;Wellen;Digital;Flexibel
Subtractive Synthesis;Synthesetechnik;Filterung;Analog;Klassisch
Additive Synthesis;Synthesetechnik;Harmonische;Überlagerung;Harmonisch
Konkreter Punk;Musikbewegung;Industrial;Laut;Kontrovers
Industrial;Genre;Laut;Experimental;Elektro
Power Electronics;Genre;Laut;Extrem;Provokant
Musique Electroacoustique;Elektronische Musik;Hybrid;Französisch;Klang
Acousmatic Music;Elektroakustische Musik;Unsichtbar;Klang;Diffusion
Sound Art;Kunstform;Klang;Installation;Multisensorisch
