Wort;Verboten1;Verboten2;Verboten3;Verboten4
Proteinfältelung;Struktur;Amino;Bindung;Funktion
Expressionsgenom;DNA;RNA;Protein;Genexpression
CRISPR;Geneditierung;Cas9;Präzision;Medizin
Epigenetik;Gen;Methylierung;Chromatin;Ausdruck
Metabolismus;Biochemie;Energieumwandlung;Katabolis;Anabolismus
Photosystem;Elektron;Chloroplast;Welle;Licht
Elektronentransportkette;Mitochondrie;ATP;NADH;Sauerstoff
Krebs-Zyklus;Respiration;Acetyl-CoA;Energie;Zitrat
Ketonkörper;Metabolismus;Ketose;Fett;Acetoacetate
Gluconeogenese;Synthesis;Glucose;Nicht-Kohlenhydrat;Leber
Glykogenese;Kohlenhydrat;Speicherung;Glykogen;Leber
Hormon;Signalisierung;Östrogen;Insulin;Hypothalamus
Neurotransmitter;Synapse;Acetylcholin;Dopamin;Hirnchemie
Rezeptorsignalisierung;G-Protein;Second Messenger;Kaskade;Zell
Apoptose;Zelltod;Programmiert;Autophagie;Kontrolle
Mitose;Zellzyklus;Chromosom;Metaphase;Division
Meiose;Gametogenesis;Reduktion;Rekombination;Gamete
Homöostase;Regulation;Konstant;Feedback;Physiologie
Osmolarität;Lösung;Partikel;Wasser;Konzentration
Ionenkanal;Protein;Membran;Ion;Elektrisch
