Demokratie;wahl;volk;regierung;freiheit
Wahl;stimme;partei;abstimmung;urne
Parlament;abgeordnete;gesetz;politik;regierung
Regierung;staat;minister;führung;macht
Opposition;gegenpartei;kritik;regierung;parlament
Verfassung;grundgesetz;staat;recht;ordnung
Gesetz;regel;recht;parlament;verbot
Recht;gesetz;gericht;ordnung;justiz
Staat;land;regierung;macht;gebiet
Bürger;einwohner;staat;rechte;pflichten
Gesellschaft;menschen;gemeinschaft;struktur;kultur
Meinung;ansicht;denken;haltung;aussage
Medien;presse;nachrichten;information;öffentlichkeit
Presse;zeitung;journalismus;medien;berichten
Freiheit;rechte;selbstbestimmung;unabhängigkeit;demokratie
Gleichheit;fairness;gerechtigkeit;rechte;chancen
Gerechtigkeit;fair;recht;gleichheit;urteil
Steuern;abgaben;geld;staat;einnahmen
Sozialstaat;hilfe;sicherung;gemeinschaft;unterstützung
Bildung;schule;lernen;wissen;ausbildung
Gesundheit;medizin;krank;vorsorge;versorgung
Migration;wanderung;einwanderung;menschen;grenzen
Integration;eingliederung;gesellschaft;zusammenleben;anpassung
Umwelt;natur;schutz;klima;ressourcen
Klimaschutz;co2;umwelt;erwärmung;maßnahmen
Wirtschaft;markt;geld;produktion;handel
Arbeitsmarkt;jobs;beschäftigung;angebot;nachfrage
Globalisierung;weltweit;handel;vernetzung;märkte
Diplomatie;außenpolitik;verhandlung;staaten;beziehungen
Konflikt;streit;spannung;problem;auseinandersetzung
Frieden;ruhe;kein_krieg;sicherheit;einigkeit
Sicherheit;schutz;ordnung;gefahr;staat
Protest;widerstand;demonstration;meinung;öffentlich
Demonstration;protest;menschen;straße;meinung
Lobby;interessen;einfluss;politik;wirtschaft
Transparenz;offenheit;klarheit;kontrolle;information
Korruption;bestechung;missbrauch;macht;skandal
Ethik;moral;werte;verantwortung;handeln
